# Germany Bundestag 2025 - per-Land Zweitstimmen, ABSOLUTE counts [SOURCED] [PROVISIONAL]
# source: kerg2.csv (Die Bundeswahlleiterin open data, Status Endgueltig, Stand 14.03.2025),
#   rows Gebietsart=Land, Stimme=2; accessed 2026-08-29. Gueltige = that Land's valid Zweitstimmen.
#   CSU appears with a nonzero count ONLY in Bayern - it contests one Land, which is the
#   candidacy fact the regional layer needs (Day-1's CSU +7.4 pp deviation).
land;valid;CDU;AfD;SPD;GRUENE;Linke;CSU;SSW;BSW;FDP
Schleswig-Holstein;1880005;518424;306165;352546;279923;146428;0;76138;64777;88147
Mecklenburg-Vorpommern;1021242;181956;357361;126687;54719;123059;0;0;107872;32678
Hamburg;1045620;216935;113608;237740;201713;151115;0;0;41919;47115
Niedersachsen;5015336;1410418;894540;1153523;576845;405519;0;0;189376;205163
Bremen;348256;71573;52496;80604;54280;51461;0;0;15114;12295
Brandenburg;1647338;298048;535275;244010;108598;176224;0;0;176405;53467
Sachsen-Anhalt;1337349;256538;496110;146535;59077;143807;0;0;150411;41251
Berlin;1949533;356099;296990;295182;328035;387222;0;0;129651;74076
Nordrhein-Westfalen;10526134;3170627;1770379;2108434;1300901;877123;0;0;432911;462446
Sachsen;2569572;507247;958401;217144;167269;290462;0;0;232257;83436
Hessen;3580834;1033842;636778;657510;451510;311058;0;0;158653;180823
Thüringen;1324160;246065;510527;115915;56097;200688;0;0;124760;37292
Rheinland-Pfalz;2482358;760623;498695;462705;256869;161867;0;0;105103;114047
Bayern;7972054;0;1515731;920675;957435;456935;2964028;0;246518;333257
Baden-Württemberg;6349998;2006866;1256430;898778;865738;429484;0;0;260219;357539
Saarland;599723;161113;129294;131136;43371;44080;0;0;37001;25725
