geo,country,age_class,mean,median,unit,concept,source
DE,Germany,TOTAL,31856,27619,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y_LT6,30373,26757,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y6-11,31125,26911,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y12-17,30227,25990,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y_LT16,30685,26677,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y16-24,28176,25221,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y16-64,33642,29536,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y_GE16,32075,27874,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y_LT18,30575,26594,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y18-24,27816,25056,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y18-64,33762,29667,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y_GE18,32129,27915,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y25-49,33775,29766,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y25-54,34196,30000,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y50-64,35726,30908,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y55-64,35509,30600,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y_LT60,32986,28821,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y_GE60,29044,25052,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y_LT65,33052,28851,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y_GE65,27378,24000,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y_LT75,32462,28170,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
DE,Germany,Y_GE75,26316,23700,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
FR,France,TOTAL,29297,25557,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
FR,France,Y_LT6,28933,24872,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
FR,France,Y6-11,26786,23210,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
FR,France,Y12-17,26063,21953,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
FR,France,Y_LT16,27350,23497,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
FR,France,Y16-24,25851,22926,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
FR,France,Y16-64,30366,26625,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
FR,France,Y_GE16,29732,25985,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
FR,France,Y_LT18,27170,23353,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
FR,France,Y18-24,25862,23177,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
FR,France,Y18-64,30556,26832,EUR,equivalised net income per person (household income over the OECD-modified scale),Eurostat ilc_di03 2024 (income year 2023) sex T
