geo,country,quantile,cutoff_eur,source
DE,Germany,D1,14325,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
DE,Germany,D2,18190,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
DE,Germany,D3,21500,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
DE,Germany,D4,24538,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
DE,Germany,D5,27619,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
DE,Germany,D6,31246,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
DE,Germany,D7,35571,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
DE,Germany,D8,41419,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
DE,Germany,D9,51787,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
DE,Germany,P95,64395,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
DE,Germany,P99,104909,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
FR,France,D1,13290,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
FR,France,D2,16800,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
FR,France,D3,19824,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
FR,France,D4,22620,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
FR,France,D5,25557,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
FR,France,D6,28586,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
FR,France,D7,32278,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
FR,France,D8,37590,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
FR,France,D9,47759,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
FR,France,P95,59883,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
FR,France,P99,99051,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
IT,Italy,D1,9331,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
IT,Italy,D2,12617,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
IT,Italy,D3,15275,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
IT,Italy,D4,18030,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
IT,Italy,D5,20605,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
IT,Italy,D6,23567,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
IT,Italy,D7,26770,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
IT,Italy,D8,31487,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
IT,Italy,D9,39825,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
IT,Italy,P95,50196,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
IT,Italy,P99,84623,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
PL,Poland,D1,6425,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
PL,Poland,D2,8078,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
PL,Poland,D3,9400,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
PL,Poland,D4,10602,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
PL,Poland,D5,11921,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
PL,Poland,D6,13177,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
PL,Poland,D7,14594,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
PL,Poland,D8,16710,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
PL,Poland,D9,20402,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
PL,Poland,P95,24407,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
PL,Poland,P99,35232,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
SE,Sweden,D1,13741,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
SE,Sweden,D2,17887,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
SE,Sweden,D3,20952,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
SE,Sweden,D4,23869,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
SE,Sweden,D5,26915,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
SE,Sweden,D6,30315,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
SE,Sweden,D7,34186,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
SE,Sweden,D8,39150,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
SE,Sweden,D9,46538,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
SE,Sweden,P95,53948,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
SE,Sweden,P99,78839,Eurostat ilc_di01 2024 statinfo TC (top cut-off point) EUR
