band,age_class,total_thousands,with_income_thousands,1to2499orloss,2500to4999,5000to7499,7500to9999,10000to12499,12500to14999,15000to17499,17500to19999,20000to22499,22500to24999,25000to27499,27500to29999,30000to32499,32500to34999,35000to37499,37500to39999,40000to42499,42500to44999,45000to47499,47500to49999,50000to52499,52500to54999,55000to57499,57500to59999,60000to62499,62500to64999,65000to67499,67500to69999,70000to72499,72500to74999,75000to77499,77500to79999,80000to82499,82500to84999,85000to87499,87500to89999,90000to92499,92500to94999,95000to97499,97500to99999,100000andover,median_usd,mean_usd,gini
"Total, 15 years and over",Y_GE15,273100,241800,12900,4759,5464,4518,9024,6556,8329,6538,8600,6357,8746,5269,9977,4148,7995,4192,8467,3570,6306,3730,8737,3148,5354,2604,6957,2418,4220,2212,4700,2084,3832,1806,3839,1781,2618,1462,2879,1339,1798,1076,41470,42220,63510,0.518
"Under 65 years",Y15-64,213900,184700,11230,3866,4499,3108,6196,3602,5386,3280,6029,3737,5978,3381,7828,2674,6366,2854,6960,2350,5086,2730,7355,2271,4216,1843,5968,1730,3415,1630,4054,1527,3243,1433,3354,1423,2224,1123,2471,1032,1527,837,34890,46490,66830,0.514
"15 to 24 years",Y15-24,43380,27870,4301,1969,2218,1262,2024,992,1491,672,1583,723,1370,787,1267,473,963,359,900,253,586,204,699,201,282,126,398,106,219,31,231,27,193,60,139,68,78,22,68,8,14,1,496,16960,24210,0.536
"25 to 34 years",Y25-34,44880,40700,1617,536,656,485,1068,563,1041,656,1249,862,1344,754,2111,613,1767,771,2010,653,1440,744,1845,579,1145,547,1568,493,899,465,1120,448,781,342,900,297,605,283,596,252,351,166,6071,48000,61860,0.443
"25 to 29 years",Y25-29,21620,19440,817,290,343,211,594,265,562,353,674,454,745,388,1153,312,938,412,1030,349,767,387,881,276,558,264,715,266,427,268,529,208,352,170,383,146,270,159,252,71,143,91,1963,43780,54430,0.425
"30 to 34 years",Y30-34,23260,21260,801,247,314,274,474,297,479,303,575,408,599,366,958,301,829,359,980,304,673,357,964,303,587,283,853,227,472,197,591,240,430,172,516,151,335,124,345,181,207,74,4107,51900,68650,0.449
"35 to 44 years",Y35-44,44320,40840,1795,439,567,412,957,464,906,491,989,724,1097,657,1575,495,1373,684,1523,497,1192,680,1896,554,1057,422,1580,378,938,374,1094,330,835,344,838,392,553,314,693,297,423,226,9784,56070,78410,0.479
"35 to 39 years",Y35-39,22580,20760,958,267,318,213,478,237,401,257,470,386,589,334,804,239,716,344,778,261,613,332,970,279,606,211,798,178,459,164,577,171,431,167,416,195,273,133,323,147,206,111,4950,55560,77540,0.48
"40 to 44 years",Y40-44,21750,20080,837,171,250,199,478,227,505,234,520,338,507,323,772,256,657,340,745,236,579,348,926,275,451,211,782,200,479,209,518,159,404,177,422,197,280,181,370,150,217,115,4833,56760,79320,0.477
"45 to 54 years",Y45-54,40100,37260,1557,346,443,414,867,521,851,536,978,694,1068,546,1358,464,1210,460,1291,414,965,510,1630,455,967,314,1331,378,664,378,907,329,748,360,747,346,523,251,616,242,428,183,9968,58160,84060,0.494
"45 to 49 years",Y45-49,19780,18420,705,179,247,200,408,235,409,223,501,342,549,298,703,214,635,210,637,186,511,260,850,210,494,145,691,225,368,188,461,166,344,186,396,131,244,117,321,127,163,90,4848,57570,84370,0.496
"50 to 54 years",Y50-54,20320,18840,852,167,197,215,459,287,442,313,477,352,519,248,655,249,576,250,654,228,454,250,780,245,474,169,639,152,297,190,445,162,404,175,351,216,279,134,295,114,264,93,5120,58670,83750,0.492
"55 to 64 years",Y55-64,41220,38050,1961,576,614,535,1280,1062,1097,925,1231,735,1099,637,1516,629,1052,579,1237,532,903,591,1285,481,764,434,1091,376,695,382,702,393,686,326,730,319,464,253,499,233,312,261,8576,50460,74080,0.516
"55 to 59 years",Y55-59,20060,18540,854,231,274,193,562,421,427,382,515,343,525,309,764,270,522,324,694,272,432,283,657,208,415,223,586,201,355,221,343,181,344,162,407,162,240,113,262,121,155,140,4451,52700,77940,0.503
"60 to 64 years",Y60-64,21160,19510,1107,345,340,342,717,641,669,543,716,392,574,328,752,359,531,256,543,260,471,307,628,273,349,211,505,175,339,162,358,212,342,164,324,157,224,141,236,113,157,122,4125,46810,70410,0.528
"65 years and over",Y_GE65,59240,57070,1669,894,965,1410,2828,2954,2944,3258,2571,2620,2768,1887,2149,1475,1629,1337,1507,1221,1220,1000,1382,878,1138,761,989,688,805,582,646,557,588,373,485,358,394,338,408,307,272,239,6574,32060,52740,0.515
"65 to 74 years",Y65-74,34820,33480,952,469,536,767,1648,1636,1596,1703,1387,1456,1498,1005,1213,791,953,742,918,705,777,577,869,510,699,454,629,450,511,344,449,345,407,207,307,247,265,213,300,188,180,155,4425,35220,57400,0.523
"65 to 69 years",Y65-69,19180,18350,561,249,308,415,954,883,907,884,698,760,794,513,657,392,496,398,512,372,477,284,494,268,408,242,314,248,266,188,288,172,231,109,180,137,131,117,188,68,109,91,2585,36000,59370,0.532
"70 to 74 years",Y70-74,15640,15140,391,220,227,352,694,753,689,819,689,696,704,492,556,400,457,344,406,334,299,293,375,242,292,212,315,202,245,155,161,174,176,98,127,110,134,96,112,120,71,64,1840,34300,55020,0.509
"75 years and over",Y_GE75,24430,23580,717,425,429,643,1180,1318,1348,1555,1184,1164,1270,882,936,683,676,596,589,515,443,423,513,368,439,307,360,238,294,238,197,211,182,166,178,111,129,125,108,119,91,84,2149,29090,46110,0.495
