"m","d","surname","firstName","start","end","tipoElezione","coverage","lista","procl"
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307108_20180308","http://dati.camera.it/ocd/deputato.rdf/d307108_18","CABRAS","PINO","20180308","20221012","maggioritario","SARDEGNA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307108_20180308","http://dati.camera.it/ocd/deputato.rdf/d307108_18","CABRAS","PINO","20180308","20221012","maggioritario","SARDEGNA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307111_20180308","http://dati.camera.it/ocd/deputato.rdf/d307111_18","CADEDDU","LUCIANO","20180308","20221012","maggioritario","SARDEGNA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307111_20180308","http://dati.camera.it/ocd/deputato.rdf/d307111_18","CADEDDU","LUCIANO","20180308","20221012","maggioritario","SARDEGNA - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307278_20180308","http://dati.camera.it/ocd/deputato.rdf/d307278_18","FEDERICO","ANTONIO","20180308","20221012","maggioritario","MOLISE - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307107_20180308","http://dati.camera.it/ocd/deputato.rdf/d307107_18","LAPIA","MARA","20180308","20221012","maggioritario","SARDEGNA - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307107_20180308","http://dati.camera.it/ocd/deputato.rdf/d307107_18","LAPIA","MARA","20180308","20221012","maggioritario","SARDEGNA - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307110_20180308","http://dati.camera.it/ocd/deputato.rdf/d307110_18","MARINO","BERNARDO","20180308","20221012","maggioritario","SARDEGNA - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307110_20180308","http://dati.camera.it/ocd/deputato.rdf/d307110_18","MARINO","BERNARDO","20180308","20221012","maggioritario","SARDEGNA - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307106_20180308","http://dati.camera.it/ocd/deputato.rdf/d307106_18","MURA","ANDREA","20180308","20180927","maggioritario","SARDEGNA - 01",,
