"gruppo","titolo","titoloBreve","inizio","fine"
"http://dati.senato.it/commissione/0-1","1ª Commissione permanente","Affari della Presidenza del Consiglio e dell'Interno",1948-05-08,1971-09-30
"http://dati.senato.it/commissione/0-1","1ª Commissione permanente","Affari Costituzionali",1971-10-01,2022-10-12
"http://dati.senato.it/commissione/0-1","1ª Commissione permanente","Affari Costituzionali",2022-10-13,
"http://dati.senato.it/commissione/0-10","9ª Commissione permanente","Industria, commercio interno ed estero, turismo",1948-05-08,1971-09-30
"http://dati.senato.it/commissione/0-10","10ª Commissione permanente","Industria, commercio, turismo",1971-10-01,2022-10-12
"http://dati.senato.it/commissione/0-100","Commissione speciale per l'esame dei disegni di legge concernenti la Cassa per il Mezzogiorno (1182) e opere pubbliche straordinarie nell'Italia settentrionale e centrale (1183)","Commissione speciale ddl opere pubbliche",1950-07-18,1951-08-10
"http://dati.senato.it/commissione/0-101","Commissione speciale per l'esame della proposta di legge: ""Provvedimenti speciali per la città di Napoli"" (1518), d'iniziativa del senatori Porzio e Labriola","Commissione speciale pdl città di Napoli",1951-02-20,1953-04-09
"http://dati.senato.it/commissione/0-102","Commissione speciale per gli alluvionati","Commissione speciale per gli alluvionati",1951-12-18,1953-06-24
"http://dati.senato.it/commissione/0-103","Commissione speciale per l'esame del disegno di legge ""Assunzione a carico dello Stato delle spese per i funerali e per la tumulazione della salma di Vittorio Emanuele Orlando in S. Maria degli Angeli in Roma"" (2729)","Commissione speciale ddl funerali e tumulazione V.E. Orlando",1953-01-05,1953-06-24
"http://dati.senato.it/commissione/0-104","Comitato per l'incremento della ricerca scientifica","Comitato per l'incremento della ricerca scientifica",1951-09-21,1953-06-24
"http://dati.senato.it/commissione/0-105","Commissione di inchiesta sulle accuse mosse all'onorevole senatore Li Causi","Commissione di inchiesta sulle accuse al senatore Li Causi",1948-10-29,1948-11-20
"http://dati.senato.it/commissione/0-106","Commissione di indagine sul fondamento delle accuse rivolte al senatore Gonzales nella seduta pomeridiana del 20 marzo 1953","Commissione sulle accuse rivolte al senatore Gonzales",1953-03-21,1953-06-24
"http://dati.senato.it/commissione/0-107","Commissione speciale per l'esame dei disegni di legge per l'autorizzazione all'esercizio provvisorio del bilancio per l'anno finanziario 1953-54 (n. 3) e per la rateizzazione della tredicesima mensilità ai dipendenti statali per il 1953 (n. 4)","Speciale eser. provv. 1953-54 e rateizzazione tredicesima",1953-06-27,1953-06-30
"http://dati.senato.it/commissione/0-108","Commissione speciale per l'esame del disegno di legge relativo alla concessione di indennizzi e contributi per danni di guerra (n. 136)","Commissione speciale ddl danni di guerra",1953-11-24,1953-12-31
"http://dati.senato.it/commissione/0-109","Commissione speciale per l'esame del disegno di legge recante provvidenze per le zone colpite dalle alluvioni in Calabria (n. 156)","Commissione speciale ddl alluvioni in Calabria",1953-11-19,1953-12-31
"http://dati.senato.it/commissione/0-11","10ª Commissione permanente","Lavoro, emigrazione e previdenza sociale",1948-05-08,1971-09-30
"http://dati.senato.it/commissione/0-11","11ª Commissione permanente","Lavoro, previdenza sociale",1971-10-01,2018-03-22
"http://dati.senato.it/commissione/0-11","11ª Commissione permanente","Lavoro pubblico e privato, previdenza sociale",2018-03-23,2022-10-12
"http://dati.senato.it/commissione/0-110","Commissione speciale per l'esame del disegno di legge concernente norma in materia di locazioni e sublocazioni di immobili urbani (n. 171)","Commissione speciale ddl locazioni",1953-02-21,1958-06-11
"http://dati.senato.it/commissione/0-111","Commissione speciale per l'esame dei disegni di legge concernenti provvidenze a favore delle zone disastrate dalle alluvioni dell'estate-autunno 1953 nelle provincie di Genova, Piacenza, Brescia e nella Regione Trentino-Alto Adige (n. 137, 230, 235, 253, 291, 376, 389, 397)","Commissione speciale ddl alluvioni estate-autunno 1953",1953-12-19,1954-08-16
"http://dati.senato.it/commissione/0-112","Commissione speciale per l'esame del disegno di legge per l'incremento della produttività (n. 562)","Commissione speciale ddl incremento della produttività",1954-06-16,1954-08-14
