"s","lastName","firstName","leg","inizio","fine","carica","gruppo","gruppoLabel"
"http://dati.senato.it/senatore/32","Alberti Casellati","Maria Elisabetta",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/32578","Alfieri","Alessandro",19,2022-10-18,2022-10-24,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/32578","Alfieri","Alessandro",19,2022-10-25,2023-06-05,"Vicepresidente Vicario","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/32578","Alfieri","Alessandro",19,2023-06-06,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/36381","Aloisio","Vincenza",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36382","Ambrogio","Paola",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/31010","Amidei","Bartolomeo",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/36383","Ancorotti","Renato",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/29040","Astorre","Bruno",19,2022-10-18,2023-03-03,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/22707","Augello","Andrea",19,2022-10-18,2023-04-28,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/17542","Balboni","Alberto",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/32583","Barachini","Alberto",19,2022-10-18,2022-11-07,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/32583","Barachini","Alberto",19,2022-11-08,,"Tesoriere","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/36431","Barcaiuolo","Michele",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/29270","Basso","Lorenzo",19,2022-10-18,2022-10-24,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/29270","Basso","Lorenzo",19,2022-10-25,,"Segretario","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/29273","Bazoli","Alfredo",19,2022-10-18,2023-06-05,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/29273","Bazoli","Alfredo",19,2023-06-06,,"Vicepresidente Vicario","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/32586","Bergesio","Giorgio Maria",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/227","Berlusconi","Silvio",19,2022-10-18,2023-06-12,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/25558","Bernini","Anna Maria",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/36384","Berrino","Gianni",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/36385","Bevilacqua","Dolores",19,2022-10-18,2026-02-25,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36385","Bevilacqua","Dolores",19,2026-02-26,,"Tesoriere","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/22871","Biancofiore","Michaela",19,2022-10-18,2023-03-28,"Membro","http://dati.senato.it/gruppo/92",
"http://dati.senato.it/senatore/22871","Biancofiore","Michaela",19,2023-03-29,,"Presidente","http://dati.senato.it/gruppo/92",
"http://dati.senato.it/senatore/32851","Bilotti","Anna",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36386","Bizzotto","Mara",19,2022-10-18,2022-11-07,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/36386","Bizzotto","Mara",19,2022-11-08,2026-06-29,"Vicepresidente Vicario","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/36386","Bizzotto","Mara",19,2026-06-30,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/25555","Boccia","Francesco",19,2022-10-18,2023-03-27,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/25555","Boccia","Francesco",19,2023-03-28,,"Presidente","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/22877","Bongiorno","Giulia",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/29291","Borghese","Mario Alejandro",19,2022-10-18,,"Tesoriere","http://dati.senato.it/gruppo/92",
"http://dati.senato.it/senatore/29292","Borghesi","Stefano",19,2022-10-18,2025-02-24,"Tesoriere","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/29292","Borghesi","Stefano",19,2025-02-25,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/33070","Borghi","Claudio",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/29293","Borghi","Enrico",19,2022-10-18,2023-04-25,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/29293","Borghi","Enrico",19,2023-04-26,2023-07-19,"Membro","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/29293","Borghi","Enrico",19,2023-07-20,2025-03-03,"Presidente","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/29293","Borghi","Enrico",19,2025-03-04,,"Membro","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/32590","Borgonzoni","Lucia",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/32856","Bucalo","Carmela",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/407","Butti","Alessio",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/34485","Calandrini","Nicola",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/422","Calderoli","Roberto",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/30110","Calenda","Carlo",19,2022-10-18,2023-11-08,"Membro","http://dati.senato.it/gruppo/91",
"http://dati.senato.it/senatore/30110","Calenda","Carlo",19,2023-11-09,,"Membro","http://dati.senato.it/gruppo/9",
"http://dati.senato.it/senatore/36432","Campione","Susanna Donatella",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
