"s","lastName","firstName","m","leg","inizio","fine","tipoMandato","tipoElezione","regione","collegio","tipoFine"
"http://dati.senato.it/senatore/32","Alberti Casellati","Maria Elisabetta","http://dati.senato.it/mandato/S_19_32_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Basilicata","BASILICATA - U01 (POTENZA)",
"http://dati.senato.it/senatore/32578","Alfieri","Alessandro","http://dati.senato.it/mandato/S_19_32578_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lombardia",,
"http://dati.senato.it/senatore/36381","Aloisio","Vincenza","http://dati.senato.it/mandato/S_19_36381_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Campania",,
"http://dati.senato.it/senatore/36382","Ambrogio","Paola","http://dati.senato.it/mandato/S_19_36382_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Piemonte","PIEMONTE - U02 (MONCALIERI)",
"http://dati.senato.it/senatore/31010","Amidei","Bartolomeo","http://dati.senato.it/mandato/S_19_31010_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Veneto",,
"http://dati.senato.it/senatore/36383","Ancorotti","Renato","http://dati.senato.it/mandato/S_19_36383_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lombardia",,
"http://dati.senato.it/senatore/29040","Astorre","Bruno","http://dati.senato.it/mandato/S_19_29040_1",19,2022-10-13,2023-03-03,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lazio",,"Deceduto"
"http://dati.senato.it/senatore/22707","Augello","Andrea","http://dati.senato.it/mandato/S_19_22707_1",19,2022-10-13,2023-04-28,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lazio",,"Deceduto"
"http://dati.senato.it/senatore/17542","Balboni","Alberto","http://dati.senato.it/mandato/S_19_17542_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Emilia-Romagna","EMILIA-ROMAGNA - U04 (RAVENNA)",
"http://dati.senato.it/senatore/32583","Barachini","Alberto","http://dati.senato.it/mandato/S_19_32583_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lombardia",,
"http://dati.senato.it/senatore/36431","Barcaiuolo","Michele","http://dati.senato.it/mandato/S_19_36431_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Emilia-Romagna",,
"http://dati.senato.it/senatore/29270","Basso","Lorenzo","http://dati.senato.it/mandato/S_19_29270_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Liguria",,
"http://dati.senato.it/senatore/29273","Bazoli","Alfredo","http://dati.senato.it/mandato/S_19_29273_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lombardia",,
"http://dati.senato.it/senatore/32586","Bergesio","Giorgio Maria","http://dati.senato.it/mandato/S_19_32586_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Piemonte","PIEMONTE - U05 (CUNEO)",
"http://dati.senato.it/senatore/227","Berlusconi","Silvio","http://dati.senato.it/mandato/S_19_227_1",19,2022-10-13,2023-06-12,"elettivo","Eletto uninominale dalla XVIII legislatura","Lombardia","LOMBARDIA - U06 (MONZA)","Deceduto"
"http://dati.senato.it/senatore/25558","Bernini","Anna Maria","http://dati.senato.it/mandato/S_19_25558_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Veneto","VENETO - U03 (PADOVA)",
"http://dati.senato.it/senatore/36384","Berrino","Gianni","http://dati.senato.it/mandato/S_19_36384_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Liguria","LIGURIA - U01 (GENOVA: MUNICIPIO VII - PONENTE)",
"http://dati.senato.it/senatore/36385","Bevilacqua","Dolores","http://dati.senato.it/mandato/S_19_36385_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Sicilia","SICILIA - U01 (PALERMO: QUARTIERE 11 - SETTE CANNOLI)",
"http://dati.senato.it/senatore/22871","Biancofiore","Michaela","http://dati.senato.it/mandato/S_19_22871_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Trentino-Alto Adige","TRENTINO-ALTO ADIGE/SÜDTIROL - U02 (ROVERETO)",
"http://dati.senato.it/senatore/32851","Bilotti","Anna","http://dati.senato.it/mandato/S_19_32851_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Campania",,
"http://dati.senato.it/senatore/36386","Bizzotto","Mara","http://dati.senato.it/mandato/S_19_36386_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Veneto","VENETO - U04 (VICENZA)",
"http://dati.senato.it/senatore/25555","Boccia","Francesco","http://dati.senato.it/mandato/S_19_25555_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Puglia",,
"http://dati.senato.it/senatore/22877","Bongiorno","Giulia","http://dati.senato.it/mandato/S_19_22877_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Lazio","LAZIO - U03 (ROMA: MUNICIPIO V)",
"http://dati.senato.it/senatore/29291","Borghese","Mario Alejandro","http://dati.senato.it/mandato/S_19_29291_1",19,2022-10-13,,"elettivo","circoscrizioni estere","AMERICA MERIDIONALE",,
"http://dati.senato.it/senatore/29292","Borghesi","Stefano","http://dati.senato.it/mandato/S_19_29292_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Lombardia","LOMBARDIA - U08 (BRESCIA)",
"http://dati.senato.it/senatore/33070","Borghi","Claudio","http://dati.senato.it/mandato/S_19_33070_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Toscana",,
"http://dati.senato.it/senatore/29293","Borghi","Enrico","http://dati.senato.it/mandato/S_19_29293_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Piemonte",,
"http://dati.senato.it/senatore/32590","Borgonzoni","Lucia","http://dati.senato.it/mandato/S_19_32590_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Emilia-Romagna",,
"http://dati.senato.it/senatore/32856","Bucalo","Carmela","http://dati.senato.it/mandato/S_19_32856_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Sicilia",,
"http://dati.senato.it/senatore/407","Butti","Alessio","http://dati.senato.it/mandato/S_19_407_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lombardia",,
"http://dati.senato.it/senatore/34485","Calandrini","Nicola","http://dati.senato.it/mandato/S_19_34485_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lazio",,
"http://dati.senato.it/senatore/422","Calderoli","Roberto","http://dati.senato.it/mandato/S_19_422_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lombardia",,
"http://dati.senato.it/senatore/30110","Calenda","Carlo","http://dati.senato.it/mandato/S_19_30110_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Sicilia",,
"http://dati.senato.it/senatore/36432","Campione","Susanna Donatella","http://dati.senato.it/mandato/S_19_36432_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Toscana",,
"http://dati.senato.it/senatore/36392","Camusso","Susanna Lina Giulia","http://dati.senato.it/mandato/S_19_36392_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Campania",,
"http://dati.senato.it/senatore/32862","Cantalamessa","Gianluca","http://dati.senato.it/mandato/S_19_32862_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Campania",,
"http://dati.senato.it/senatore/32598","Cantu'","Maria Cristina","http://dati.senato.it/mandato/S_19_32598_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lombardia",,
"http://dati.senato.it/senatore/520","Casini","Pier Ferdinando","http://dati.senato.it/mandato/S_19_520_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Emilia-Romagna","EMILIA-ROMAGNA - U03 (BOLOGNA)",
"http://dati.senato.it/senatore/36388","Castelli","Guido","http://dati.senato.it/mandato/S_19_36388_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Marche",,
"http://dati.senato.it/senatore/32600","Castellone","Maria Domenica","http://dati.senato.it/mandato/S_19_32600_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Campania","CAMPANIA - U05 (GIUGLIANO IN CAMPANIA)",
"http://dati.senato.it/senatore/32601","Castiello","Francesco","http://dati.senato.it/mandato/S_19_32601_1",19,2022-10-13,2024-12-31,"elettivo","Eletto proporzionale dalla XVIII legislatura","Campania",,"Deceduto"
"http://dati.senato.it/senatore/33065","Cataldi","Roberto","http://dati.senato.it/mandato/S_19_33065_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Marche",,
"http://dati.senato.it/senatore/30511","Cattaneo","Elena","http://dati.senato.it/mandato/S_19_30511_1",19,2022-10-13,,"a vita, di nomina del Presidente della Repubblica",,,,
"http://dati.senato.it/senatore/29067","Centinaio","Gian Marco","http://dati.senato.it/mandato/S_19_29067_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Lombardia","LOMBARDIA - U10 (PAVIA)",
"http://dati.senato.it/senatore/32603","Ciriani","Luca","http://dati.senato.it/mandato/S_19_32603_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Friuli-Venezia Giulia","FRIULI-VENEZIA GIULIA - U01 (TRIESTE)",
"http://dati.senato.it/senatore/22910","Cosenza","Giulia","http://dati.senato.it/mandato/S_19_22910_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Campania","CAMPANIA - U02 (BENEVENTO)",
"http://dati.senato.it/senatore/36389","Cottarelli","Carlo","http://dati.senato.it/mandato/S_19_36389_1",19,2022-10-13,2023-05-31,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lombardia",,"Dimissioni accettate"
"http://dati.senato.it/senatore/22914","Craxi","Stefania Gabriella Anastasia","http://dati.senato.it/mandato/S_19_22914_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Sicilia","SICILIA - U03 (GELA)",
"http://dati.senato.it/senatore/36387","Crisanti","Andrea","http://dati.senato.it/mandato/S_19_36387_1",19,2022-10-13,,"elettivo","circoscrizioni estere","EUROPA",,
"http://dati.senato.it/senatore/32608","Croatti","Marco","http://dati.senato.it/mandato/S_19_32608_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Emilia-Romagna",,
"http://dati.senato.it/senatore/36390","Cucchi","Ilaria","http://dati.senato.it/mandato/S_19_36390_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Toscana","TOSCANA - U04 (FIRENZE)",
"http://dati.senato.it/senatore/31875","D'Elia","Cecilia","http://dati.senato.it/mandato/S_19_31875_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lazio",,
"http://dati.senato.it/senatore/36391","Damante","Concetta","http://dati.senato.it/mandato/S_19_36391_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Sicilia",,
