country,measure,sex,year,value,unit,source
Germany,CRPLF22,F,2024,66.2,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Germany,CRPLF22,M,2024,66.2,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Germany,ELMEA,F,2024,63.9,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Germany,ELMEA,M,2024,64.2,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Germany,FRPLF22,F,2024,67,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Germany,FRPLF22,M,2024,67,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Germany,GPRR100,F,2024,42.1,PT_EARN_G_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Germany,GPRR100,M,2024,42.1,PT_EARN_G_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Germany,NPRR100,F,2024,53.3,PT_EARN_N_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Germany,NPRR100,M,2024,67.9,PT_EARN_N_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Germany,PEP,_Z,2021,10.8,PT_B1GQ,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
France,CRPLF22,F,2024,64.3,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
France,CRPLF22,M,2024,64.3,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
France,ELMEA,F,2024,62.4,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
France,ELMEA,M,2024,61.9,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
France,FRPLF22,F,2024,65,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
France,FRPLF22,M,2024,65,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
France,GPRR100,F,2024,56.6,PT_EARN_G_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
France,GPRR100,M,2024,56.6,PT_EARN_G_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
France,NPRR100,F,2024,70,PT_EARN_N_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
France,NPRR100,M,2024,70,PT_EARN_N_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
France,PEP,_Z,2021,13.4,PT_B1GQ,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Italy,CRPLF22,F,2024,63.8,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Italy,CRPLF22,M,2024,64.8,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Italy,ELMEA,F,2024,62.6,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Italy,ELMEA,M,2024,64,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Italy,FRPLF22,F,2024,70,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Italy,FRPLF22,M,2024,70,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Italy,GPRR100,F,2024,70.6,PT_EARN_G_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Italy,GPRR100,M,2024,70.6,PT_EARN_G_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Italy,NPRR100,F,2024,79,PT_EARN_N_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Italy,NPRR100,M,2024,79,PT_EARN_N_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Italy,PEP,_Z,2021,16.1,PT_B1GQ,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Poland,CRPLF22,F,2024,60,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Poland,CRPLF22,M,2024,65,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Poland,ELMEA,F,2024,61.4,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Poland,ELMEA,M,2024,63.7,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Poland,FRPLF22,F,2024,60,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Poland,FRPLF22,M,2024,65,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Poland,GPRR100,F,2024,22.4,PT_EARN_G_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Poland,GPRR100,M,2024,28.6,PT_EARN_G_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Poland,NPRR100,F,2024,31.8,PT_EARN_N_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Poland,NPRR100,M,2024,40.6,PT_EARN_N_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Poland,PEP,_Z,2021,11.2,PT_B1GQ,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,CRPLF22,F,2024,66,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,CRPLF22,M,2024,66,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,ELMEA,F,2024,65,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,ELMEA,M,2024,65.1,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,FRPLF22,F,2024,70,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
