geo,country,year,cofog_old_age_cash_pct_gdp,cofog_old_age_cash_mio_eur,esspros_old_age_pct_gdp,esspros_old_age_mio_eur,esspros_all_types_pct_gdp,esspros_all_types_mio_eur,gdp_mio_eur,gdp_mio_nac,beneficiaries_old_age,beneficiaries_all_types,flags,source
DE,Germany,2019,8.7,307852.0,9.22,326398.23,11.81,417780.15,3557630.0,3557630.0,19691864,23549582,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
DE,Germany,2020,9.3,321099.0,9.86,340143.04,12.57,433787.14,3477670.0,3477670.0,19785356,23558148,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
DE,Germany,2021,9.0,330539.0,9.51,350485.42,12.11,445852.15,3713090.0,3713090.0,19815180,23531468,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
DE,Germany,2022,8.6,343325.0,9.13,364356.91,11.59,462194.48,4010630.0,4010630.0,19860928,23507818,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
DE,Germany,2023,8.6,362725.0,9.11,384233.50,11.51,485693.12,4254930.0,4254930.0,19903597,23411811,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
DE,Germany,2024,9.0,390310.0,9.38,406318.09,11.83,511927.63,4386940.0,4386940.0,20041182,23544875,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
FR,France,2019,12.2,296374.8,12.24,297625.85,14.94,363425.58,2432206.8,2432206.8,16782706,20428505,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
FR,France,2020,13.1,303448.2,13.18,305453.11,16.05,372049.86,2318276.2,2318276.2,16972108,20839519,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
FR,France,2021,12.3,308360.2,12.37,310268.86,15.04,377316.64,2508102.3,2508102.3,17062320,20922976,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
FR,France,2022,12.1,322212.8,12.22,324367.32,14.81,393151.24,2653997.2,2653997.2,17040084,20556173,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
FR,France,2023,12.0,338912.9,12.07,341057.43,14.61,413005.52,2833826.4,2833826.4,17263087,22067142,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
