# Poland Sejm 2023 - ABSOLUTE votes per committee per okreg [SOURCED] [PROVISIONAL]
# source: https://danewyborcze.kbw.gov.pl/dane/2023/sejmsenat/wyniki_gl_na_listy_po_okregach_sejm_csv.zip
#   (file wyniki_gl_na_listy_po_okregach_sejm_utf8.csv; accessed 2026-08-29; column mapping verified
#   by exact national-sum cross-check: PiS 7640854, KO 6629402, TD 3110670, NL 1859018, Konf 1547364,
#   MN 25778 - all six MATCH. A committee not registered in a district is 0; MN stands only in okreg 21.)
okreg;PiS;KO;TD;NL;Konf;MN
1;174643;169540;53958;47715;31770;0
2;107797;120188;39215;25806;19478;0
3;206899;286713;106624;88089;54132;0
4;162603;186914;80426;52959;34266;0
5;183131;158719;84308;60473;34232;0
6;294847;131712;102894;37083;54325;0
7;231882;79501;59577;25691;35594;0
8;143530;195091;77933;47911;33672;0
9;122433;187527;54283;55770;25428;0
10;184929;86083;54479;25340;30247;0
11;221031;138038;77313;41188;36383;0
12;156308;88408;54585;22036;28754;0
13;232430;232799;127693;83633;58435;0
14;229587;68804;49487;13594;37301;0
15;196433;68690;75229;16152;32241;0
16;195218;99146;75526;28848;28877;0
17;190418;82003;54690;20874;28593;0
18;262236;100902;83681;26149;44299;0
19;345380;741286;227127;230648;124220;0
20;231905;257470;110086;51556;51573;0
21;150022;161241;61155;34763;31150;25778
22;241790;70054;60938;19750;38080;0
23;347688;119259;83676;32828;63854;0
24;258277;126971;114898;29478;59648;0
25;155318;257009;90599;57967;38406;0
26;199709;258909;92793;56887;49203;0
27;163506;127677;64778;34601;34909;0
28;117756;94313;47698;30497;21256;0
29;116827;139711;51681;35673;26934;0
30;145230;114404;47525;26117;30527;0
31;162458;193596;69825;44509;35240;0
32;112389;114519;37221;81646;21512;0
33;310266;137941;90975;45048;43197;0
34;105373;95410;46101;24269;19590;0
35;126432;129339;63007;31631;27119;0
36;194416;154990;87628;46222;37838;0
37;162192;100580;69740;39761;29208;0
38;120301;144114;72996;32378;28370;0
39;116666;262779;98589;73345;35182;0
40;101023;124625;39776;28101;19379;0
41;159575;222427;69957;52032;32942;0
