# Population 16+ at 31 December 2024 by education level (SUN 2000 level codes: 1 förgymnasial <9 år, 2 förgymnasial 9 (10) år, 3 gymnasial <=2 år, 4 gymnasial 3 år, 5 eftergymnasial <3 år, 6 eftergymnasial >=3 år, 7 forskarutbildning, US uppgift saknas; SCB UF0506 UtbBefRegionR, both sexes), by Riksdag valkrets and five-year age band (band_3 = 16-19 ... band_19 = 95+), aggregated from the four scb_UtbBefRegionR_2024_municipality_age_sex_level_part*.json through valkrets_municipalities_2024.csv. Built 2026-09-02 by Tools/build_valkrets_marginals.sh; see VALKRETS_POPULATION_README.md.
valkrets_no,band,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_US,total
1,3,20,30767,268,7746,117,0,0,2420,41338
1,4,206,3878,2025,23402,14586,6578,0,3054,53729
1,5,575,3398,3103,15160,15180,36356,132,4371,78275
1,6,806,3274,3908,15420,17015,48635,1080,4739,94877
1,7,1208,3353,5047,12264,14948,40396,1770,3925,82911
1,8,1647,3843,5507,9914,11539,34202,2120,2915,71687
1,9,1693,3427,5713,11009,9153,29144,2079,2117,64335
1,10,1691,3345,9756,9432,10104,25868,2125,1475,63796
1,11,1714,3632,11855,8929,10994,19556,1817,848,59345
1,12,1665,4047,12432,7864,10164,16713,1582,597,55064
1,13,1483,3978,10391,6023,8472,13671,1329,492,45839
1,14,1430,3520,8136,5425,7093,12011,1200,434,39249
1,15,1824,3023,6911,4997,5371,11232,1069,541,34968
1,16,2181,1590,4687,3280,3208,7105,809,605,23465
1,17,1485,852,2630,1531,1537,2984,399,403,11821
1,18,963,447,1327,608,651,1037,123,248,5404
1,19,485,216,537,208,237,301,32,117,2133
2,3,35,57428,464,14199,106,0,0,3940,76172
2,4,448,7042,3541,40468,16643,5491,0,3838,77471
2,5,1183,6152,5930,25079,15575,24058,112,5115,83204
2,6,1547,6580,7797,27443,19890,37325,983,5961,107526
2,7,2220,6462,9833,23025,19574,41094,1890,5485,109583
2,8,2924,6667,10408,20114,16581,39902,2091,4750,103437
2,9,2896,6531,10964,22526,13978,36265,2075,3758,98993
2,10,2790,6743,21043,17541,16123,33194,2141,2631,102206
2,11,2735,7013,25700,14979,16694,23942,1823,1606,94492
2,12,2796,8015,23475,11670,13803,18024,1468,1118,80369
2,13,2691,7473,18718,8890,11164,13840,1143,914,64833
2,14,2863,6684,14919,8178,9574,11454,940,730,55342
2,15,5058,6252,15251,9149,8365,12305,913,898,58191
2,16,6047,3427,11340,6883,5528,8533,820,817,43395
2,17,4083,1626,5493,3134,2651,3824,382,606,21799
2,18,2144,643,2176,1067,994,1402,120,325,8871
2,19,736,228,696,309,240,384,24,160,2777
3,3,3,14388,104,3611,41,0,0,873,19020
3,4,123,2205,989,13522,10283,3786,0,1165,32073
