# Persons 16+ resident all of 2024 by sammanräknad förvärvsinkomst class (tkr, SCB HE0110 SamForvInk1, HE0110J9 Antal personer, both sexes), by Riksdag valkrets and age band, aggregated from scb_SamForvInk1_2024_municipality_age_incomeclass.json through valkrets_municipalities_2024.csv. 'total' is the band's published TOT class; 'unpublished' = total - published_sum is exactly the mass SCB suppressed ('..', cells under 3 persons) in 'suppressed_cells' cells. Built 2026-09-02 by Tools/build_valkrets_marginals.sh; see VALKRETS_POPULATION_README.md.
valkrets_no,age_band,tkr_0,tkr_1-19,tkr_20-39,tkr_40-59,tkr_60-79,tkr_80-99,tkr_100-119,tkr_120-139,tkr_140-159,tkr_160-179,tkr_180-199,tkr_200-219,tkr_220-239,tkr_240-259,tkr_260-279,tkr_280-299,tkr_300-319,tkr_320-339,tkr_340-359,tkr_360-379,tkr_380-399,tkr_400-499,tkr_500-599,tkr_600-799,tkr_800-999,tkr_1000+,published_sum,total,unpublished,suppressed_cells
1,16-19,10359,18234,4195,2180,1628,1068,853,640,421,294,162,143,88,74,51,28,18,22,20,14,8,23,7,9,0,0,40539,40535,-4,2
1,20-24,6116,3950,3047,3110,3034,2645,2354,2314,2925,2076,1973,1718,1641,1495,1548,1437,1409,1227,1223,1002,861,2614,739,319,63,35,50875,50880,5,0
1,25-29,5168,2091,1628,1696,1691,1568,1498,1615,2389,1665,1620,1621,1559,1568,1591,1736,1792,1995,2205,2502,2789,14683,9311,6077,1407,1086,74551,74548,-3,0
1,30-34,5025,1484,1078,1102,953,908,898,937,1558,1097,1230,1289,1368,1499,1650,1733,1922,2164,2368,2669,2828,16808,14720,15643,4937,4036,91904,91907,3,0
1,35-39,4573,1131,868,818,699,573,681,759,1319,911,1072,1119,1106,1286,1357,1439,1713,1906,2022,2167,2308,12975,11867,14645,5652,5551,80517,80527,10,0
1,40-44,3760,928,571,564,527,455,494,607,1133,655,918,807,894,1006,1101,1209,1338,1590,1738,1806,1905,10149,9959,13517,5764,6574,69969,69956,-13,0
1,45-49,3266,655,458,430,345,373,400,522,1015,581,801,768,797,890,984,1015,1208,1347,1557,1591,1656,8499,8333,12798,5806,7002,63097,63090,-7,0
1,50-54,3003,575,439,353,374,325,397,531,1105,643,789,728,805,943,917,940,1082,1294,1563,1550,1629,8522,8092,12896,5822,7548,62865,62868,3,0
1,55-59,3062,548,363,396,353,327,396,538,1291,868,850,881,848,1021,1034,969,1161,1179,1423,1620,1672,8319,7491,11099,4874,6092,58675,58679,4,0
1,60-64,2684,534,436,431,418,382,446,642,1605,1026,1053,1072,1035,1114,1213,1128,1191,1225,1498,1593,1650,8154,6776,9242,3667,4417,54632,54644,12,0
1,65-69,469,305,284,341,395,417,544,1217,1443,1260,1270,1322,1316,1469,1486,1543,1520,1523,1467,1446,1402,6083,5076,6466,2396,3159,45619,45615,-4,0
1,70-74,189,103,189,310,333,391,451,1392,1427,1518,1822,2118,2260,2187,2029,1818,1665,1501,1223,1204,1056,4059,2934,3516,1509,1913,39117,39118,1,0
1,75-79,253,123,162,236,231,222,314,1045,1127,1476,2002,2627,3033,2929,2435,1827,1532,1224,1013,966,800,3000,2009,2309,944,1056,34895,34882,-13,0
1,80-84,214,91,155,152,120,122,149,572,583,787,1195,1861,2381,2268,1828,1339,1102,903,825,671,593,2051,1229,1219,525,469,23404,23407,3,0
1,85+,270,39,63,59,28,47,74,356,877,673,1025,1659,2312,2084,1755,1556,1114,876,642,512,426,1313,591,561,201,187,19300,19303,3,0
2,16-19,25369,26173,7871,4370,3056,2090,1654,1266,906,687,518,313,197,151,98,57,49,20,12,8,7,18,0,0,0,0,74890,75006,116,253
2,20-24,8644,4839,3672,3701,3709,3304,3081,3077,4455,2800,2799,2689,2541,2460,2551,2636,2523,2438,2283,2050,1790,5058,1440,471,26,20,75057,75096,39,41
2,25-29,5951,2069,1683,1678,1553,1479,1460,1525,3080,1695,1758,1817,1838,2008,2152,2367,2765,2994,3168,3343,3459,15996,8818,4319,597,249,79821,79815,-6,9
2,30-34,6101,1752,1303,1503,1127,1062,1101,1253,2274,1470,1777,1759,1890,2144,2341,2615,2976,3363,3591,3868,3984,20709,15535,13645,3162,1773,104078,104149,71,0
2,35-39,5564,1463,1162,1106,832,756,811,1030,1939,1258,1369,1510,1657,1949,2053,2336,2766,3157,3238,3510,3650,19176,15630,18015,6166,4513,106616,106625,9,4
2,40-44,4845,1073,796,730,625,628,697,883,1723,1009,1184,1244,1416,1650,1681,1915,2321,2693,2807,3143,3193,16742,14615,18595,7440,7347,100995,101035,40,4
