# municipality -> Riksdag valkrets, 2024 municipal codes (SCB) mapped by Vallagen (2005:837) 4 kap. 2 § (Lag 2014:1384), the statute's own municipality lists for the seven split valkretsar, the county otherwise. Built 2026-09-02 by Tools/… see README.
kommun_code,kommun_name,valkrets_no,valkrets_name
0114,Upplands Väsby,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0115,Vallentuna,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0117,Österåker,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0120,Värmdö,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0123,Järfälla,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0125,Ekerö,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0126,Huddinge,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0127,Botkyrka,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0128,Salem,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0136,Haninge,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0138,Tyresö,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0139,Upplands-Bro,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0140,Nykvarn,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0160,Täby,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0162,Danderyd,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0163,Sollentuna,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0180,Stockholm,1,Stockholms kommun
0181,Södertälje,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0182,Nacka,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0183,Sundbyberg,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0184,Solna,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0186,Lidingö,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0187,Vaxholm,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0188,Norrtälje,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0191,Sigtuna,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0192,Nynäshamn,2,Stockholms läns valkrets (Stockholms län med undantag av Stockholms kommun)
0305,Håbo,3,Uppsala län
0319,Älvkarleby,3,Uppsala län
0330,Knivsta,3,Uppsala län
0331,Heby,3,Uppsala län
0360,Tierp,3,Uppsala län
0380,Uppsala,3,Uppsala län
0381,Enköping,3,Uppsala län
0382,Östhammar,3,Uppsala län
0428,Vingåker,4,Södermanlands län
0461,Gnesta,4,Södermanlands län
0480,Nyköping,4,Södermanlands län
0481,Oxelösund,4,Södermanlands län
0482,Flen,4,Södermanlands län
0483,Katrineholm,4,Södermanlands län
0484,Eskilstuna,4,Södermanlands län
0486,Strängnäs,4,Södermanlands län
0488,Trosa,4,Södermanlands län
0509,Ödeshög,5,Östergötlands län
0512,Ydre,5,Östergötlands län
0513,Kinda,5,Östergötlands län
0560,Boxholm,5,Östergötlands län
0561,Åtvidaberg,5,Östergötlands län
0562,Finspång,5,Östergötlands län
0563,Valdemarsvik,5,Östergötlands län
0580,Linköping,5,Östergötlands län
0581,Norrköping,5,Östergötlands län
0582,Söderköping,5,Östergötlands län
0583,Motala,5,Östergötlands län
0584,Vadstena,5,Östergötlands län
0586,Mjölby,5,Östergötlands län
0604,Aneby,6,Jönköpings län
0617,Gnosjö,6,Jönköpings län
0642,Mullsjö,6,Jönköpings län
0643,Habo,6,Jönköpings län
0662,Gislaved,6,Jönköpings län
0665,Vaggeryd,6,Jönköpings län
0680,Jönköping,6,Jönköpings län
0682,Nässjö,6,Jönköpings län
0683,Värnamo,6,Jönköpings län
0684,Sävsjö,6,Jönköpings län
0685,Vetlanda,6,Jönköpings län
0686,Eksjö,6,Jönköpings län
0687,Tranås,6,Jönköpings län
0760,Uppvidinge,7,Kronobergs län
0761,Lessebo,7,Kronobergs län
0763,Tingsryd,7,Kronobergs län
0764,Alvesta,7,Kronobergs län
0765,Älmhult,7,Kronobergs län
0767,Markaryd,7,Kronobergs län
0780,Växjö,7,Kronobergs län
0781,Ljungby,7,Kronobergs län
0821,Högsby,8,Kalmar län
0834,Torsås,8,Kalmar län
0840,Mörbylånga,8,Kalmar län
0860,Hultsfred,8,Kalmar län
0861,Mönsterås,8,Kalmar län
0862,Emmaboda,8,Kalmar län
0880,Kalmar,8,Kalmar län
0881,Nybro,8,Kalmar län
0882,Oskarshamn,8,Kalmar län
0883,Västervik,8,Kalmar län
0884,Vimmerby,8,Kalmar län
0885,Borgholm,8,Kalmar län
0980,Gotland,9,Gotlands län
1060,Olofström,10,Blekinge län
1080,Karlskrona,10,Blekinge län
1081,Ronneby,10,Blekinge län
1082,Karlshamn,10,Blekinge län
1083,Sölvesborg,10,Blekinge län
1214,Svalöv,12,Skåne läns västra valkrets
1230,Staffanstorp,13,Skåne läns södra valkrets
1231,Burlöv,13,Skåne läns södra valkrets
1233,Vellinge,13,Skåne läns södra valkrets
1256,Östra Göinge,14,Skåne läns norra och östra valkrets
1257,Örkelljunga,14,Skåne läns norra och östra valkrets
1260,Bjuv,12,Skåne läns västra valkrets
1261,Kävlinge,13,Skåne läns södra valkrets
1262,Lomma,13,Skåne läns södra valkrets
1263,Svedala,13,Skåne läns södra valkrets
1264,Skurup,13,Skåne läns södra valkrets
1265,Sjöbo,13,Skåne läns södra valkrets
1266,Hörby,12,Skåne läns västra valkrets
1267,Höör,12,Skåne läns västra valkrets
1270,Tomelilla,14,Skåne läns norra och östra valkrets
1272,Bromölla,14,Skåne läns norra och östra valkrets
