# Population 31 December 2024 (SCB BE0101N1, both sexes) by Riksdag valkrets and five-year age band (band_0 = 0-4 … band_20 = 100+), aggregated from ElectionsData/sweden/scb_BefolkningNy_2024_municipality_age_sex.json through valkrets_municipalities_2024.csv. Built 2026-09-02; the ALL TOTAL reconciles to SCB's national figure (see README).
valkrets_no,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,total
1,53229,50581,52919,51947,53729,78275,94877,82911,71687,64335,63796,59345,55064,45839,39249,34968,23465,11821,5404,1793,340,995574
2,80922,92322,96380,95620,77471,83204,107526,109583,103437,98993,102206,94492,80369,64833,55342,58191,43395,21799,8871,2435,342,1477733
3,20852,23934,24080,23746,32073,28473,31028,28719,24736,23403,23975,23690,21320,19430,18069,18269,12351,6254,2641,760,109,407912
4,14794,18338,18756,18455,14845,14834,19095,19287,17852,17296,18840,19829,18198,17091,16243,16823,11730,5955,2544,646,91,301542
5,23343,26796,27894,28057,30743,28982,33343,31104,27469,27436,29392,29777,26873,24647,23128,23083,16444,9019,3750,1027,139,472446
6,19554,22374,23108,22649,20807,21442,25579,24239,21571,21378,22705,23672,21068,19310,18089,18143,12909,7157,3232,893,130,370009
7,10615,12093,12424,12442,12508,11387,13433,13067,12134,12109,12143,12848,11325,10585,10361,10140,7176,4081,1913,518,49,203351
8,11635,13457,14167,13746,11879,11939,15618,14772,13421,13587,15012,16463,15777,15350,14998,15016,10500,5910,2447,575,83,246352
9,2474,3149,3459,3361,3097,2778,3649,3560,3337,3320,3774,4140,4126,4088,3967,3811,2692,1438,594,142,15,60971
10,7046,8495,9202,9454,8654,7810,9757,9327,8749,9151,10042,10717,9654,8992,8851,8967,6647,3770,1526,365,47,157223
11,21655,20984,21037,19587,21742,30929,35013,30587,26544,23338,20851,19481,18031,15115,13548,11588,8146,4696,2092,587,93,365644
12,17163,19665,20460,19974,16643,17387,22164,22313,20288,20563,21394,21626,19296,16985,15768,15101,10967,5549,2321,652,81,326360
13,20265,25146,27101,26366,29867,20935,24366,26611,26486,26868,26992,26181,22500,19595,18942,19503,14428,7437,2977,739,89,413394
14,15674,18238,19237,19498,15313,15468,19989,20254,18237,18730,20444,21914,20268,19068,18319,18389,13015,7150,3056,817,150,323228
15,17741,20531,21635,21324,17813,16142,21727,21957,20253,20499,22335,22873,20650,19397,18016,18272,12932,7073,2966,817,121,345074
16,32621,31452,31904,32159,43795,53099,57783,49230,41256,36748,35762,34586,31127,26892,23128,21322,14132,7443,3423,990,141,608993
17,21905,25278,26255,25674,18340,17614,26158,28108,26149,25875,26397,25613,22296,19249,17085,17663,12600,6800,2892,784,85,392820
18,12897,14992,15965,15664,13036,13776,17500,16894,14784,15085,16782,18409,17534,16625,16237,15527,10936,5987,2606,703,103,272042
19,11848,13501,14260,13921,12121,12272,15771,15140,13971,13317,14263,15120,13565,12317,11680,11380,7990,4402,1967,495,70,229371
20,13086,15296,15700,15319,14100,14144,18009,17028,14967,14495,16340,18309,16897,16003,15066,15093,10620,5875,2534,632,82,269595
21,12835,15573,16034,15623,15353,15211,18474,17601,15731,15278,17722,18987,17727,17313,16358,16273,11247,6454,2788,712,90,283384
22,15380,17602,18576,18300,19157,18377,20907,19896,18009,17561,19195,19399,17692,16148,15757,16056,11628,5671,2325,658,81,308375
23,14281,16480,17127,16489,14331,15546,20115,18938,16566,15971,17253,18571,16822,14750,13972,14622,10442,5734,2390,672,86,281158
24,13372,16235,16560,16532,13156,13824,18353,18248,16005,15703,17420,18481,17973,17780,17275,17609,12037,6527,2690,680,86,286546
25,12777,15596,16325,16271,14098,14160,18446,17708,15666,15635,18154,19335,18233,17229,16716,17306,11567,6121,2527,621,67,284558
26,10754,13325,13737,14201,11560,11660,15233,15001,13598,14013,15405,16724,14978,14768,14179,14297,9876,5399,2227,466,57,241458
27,6243,7618,7724,7623,6655,6774,9004,8835,7717,7576,8193,8470,8029,7981,7594,7612,5108,2716,1071,265,31,132839
28,13593,15790,15887,15712,19356,18358,21299,19261,17007,15971,16102,16573,15295,15465,14392,13909,9319,5182,2090,515,62,281138
29,11195,12738,13227,13317,13873,13826,16818,15858,13787,13321,15274,16672,15795,15561,14864,14310,9802,5597,2267,477,41,248620
