# combustion_2023.csv - GENERATED by Tools/energy_prep.pl (ENERGY_LAYER_SPINE.md §9). CO2 of the fossil fuel burned for electricity and heat, 2023, kt, by the family's label (coal = solid fossil fuels; gas = natural gas; other = manufactured gases, oil products, peat, oil shale, non-renewable wastes) and plant class.
# DE FR IT PL SE: Eurostat nrg_bal_c transformation inputs by fuel, TJ, in six classes - MAPE main-activity electricity-only, MAPCHP main-activity CHP, MAPH main-activity heat-only, APE / APCHP / APH the autoproducers' three; x IPCC 2006 Vol.2 Ch.2 Table 2.2 default CO2 factors (kg/TJ, NCV). Biogenic fuels excluded (EDGAR's basis).
# WHY THE OPERATOR SPLIT: EDGAR's Power Industry is IPCC 1A1 - the MAIN-ACTIVITY producers (plus refineries and other energy industries); autoproducers' emissions sit in industry's and services' own categories. So the derived part of the family's figure is MAPE + MAPCHP's electricity share; MAPH and MAPCHP's heat share are the known part of the residual; the autoproducer classes are computed and printed but belong to a book this model does not keep.
# US: EIA-923 2023 Page 1 by 'Sector Number' - 1 electric utility, 2 IPP non-CHP, 3 IPP CHP are main activity (MAPE, MAPCHP), 4-7 commercial and industrial are autoproducers (APE, APCHP); 'Elec Fuel Consumption MMBtu' is the fuel EIA itself attributes to electricity, so the CHP electricity share is already applied (MAPH / APH carry 'Total' minus 'Elec', the heat); by reported fuel type code x the same factors (TDF at the waste-oil default).
country;label;class;fuel_tj;co2_kt
DE;coal;MAPE;1029964;102303.4
DE;coal;MAPCHP;121613;11717.6
DE;coal;MAPH;4373;418.9
DE;coal;APE;22876;2264.1
DE;coal;APCHP;13990;1353.8
DE;coal;APH;0;0.0
DE;gas;MAPE;131249;7363.1
DE;gas;MAPCHP;390559;21910.3
DE;gas;MAPH;74297;4168.1
DE;gas;APE;15800;886.4
DE;gas;APCHP;144602;8112.2
DE;gas;APH;0;0.0
DE;other;MAPE;52777;4935.7
DE;other;MAPCHP;55777;5342.8
DE;other;MAPH;22996;2145.7
DE;other;APE;95026;17315.5
DE;other;APCHP;25239;2998.8
DE;other;APH;0;0.0
FR;coal;MAPE;12448;1177.6
FR;coal;MAPCHP;5153;487.4
FR;coal;MAPH;752;71.1
FR;coal;APE;25;2.4
FR;coal;APCHP;967;91.5
FR;coal;APH;17;1.6
FR;gas;MAPE;108949;6112.0
FR;gas;MAPCHP;71980;4038.1
FR;gas;MAPH;26087;1463.5
FR;gas;APE;12459;698.9
FR;gas;APCHP;20424;1145.8
FR;gas;APH;3471;194.7
FR;other;MAPE;45379;3450.5
FR;other;MAPCHP;17090;1182.8
FR;other;MAPH;462;37.7
FR;other;APE;25448;4300.6
FR;other;APCHP;27635;2608.5
FR;other;APH;6508;675.6
IT;coal;MAPE;135919;12857.9
IT;coal;MAPCHP;0;0.0
IT;coal;MAPH;0;0.0
IT;coal;APE;0;0.0
IT;coal;APCHP;0;0.0
IT;coal;APH;0;0.0
IT;gas;MAPE;283440;15901.0
IT;gas;MAPCHP;377120;21156.4
IT;gas;MAPH;9675;542.8
IT;gas;APE;1142;64.1
IT;gas;APCHP;143486;8049.6
IT;gas;APH;0;0.0
IT;other;MAPE;28620;2377.4
IT;other;MAPCHP;16809;1483.1
IT;other;MAPH;200;14.9
IT;other;APE;3231;320.9
IT;other;APCHP;123148;10336.1
IT;other;APH;0;0.0
PL;coal;MAPE;25866;2447.0
PL;coal;MAPCHP;929115;89980.7
PL;coal;MAPH;76838;7270.3
PL;coal;APE;0;0.0
PL;coal;APCHP;23697;2241.8
PL;coal;APH;4793;453.5
PL;gas;MAPE;0;0.0
PL;gas;MAPCHP;76506;4292.0
PL;gas;MAPH;11891;667.1
PL;gas;APE;0;0.0
PL;gas;APCHP;46828;2627.1
PL;gas;APH;862;48.4
PL;other;MAPE;215;15.9
PL;other;MAPCHP;24533;3578.5
PL;other;MAPH;2944;192.2
PL;other;APE;0;0.0
PL;other;APCHP;27373;2035.2
PL;other;APH;552;56.7
SE;coal;MAPE;0;0.0
SE;coal;MAPCHP;530;50.1
SE;coal;MAPH;0;0.0
SE;coal;APE;0;0.0
SE;coal;APCHP;0;0.0
SE;coal;APH;0;0.0
SE;gas;MAPE;0;0.0
SE;gas;MAPCHP;2081;116.7
SE;gas;MAPH;1687;94.7
SE;gas;APE;0;0.0
SE;gas;APCHP;154;8.6
SE;gas;APH;0;0.0
SE;other;MAPE;252;19.1
SE;other;MAPCHP;32457;3956.1
SE;other;MAPH;11834;1088.5
SE;other;APE;0;0.0
SE;other;APCHP;2239;418.2
SE;other;APH;0;0.0
US;coal;MAPE;7528889;720770.7
US;coal;MAPCHP;79232;7498.2
US;coal;MAPH;38111;3628.2
US;coal;APE;0;0.0
US;coal;APCHP;31113;2972.5
US;coal;APH;153087;14602.8
US;gas;MAPE;12878482;722482.8
US;gas;MAPCHP;847410;47539.7
US;gas;MAPH;382160;21439.2
US;gas;APE;46526;2610.1
US;gas;APCHP;665895;37356.7
US;gas;APH;931869;52277.9
US;other;MAPE;220012;18383.7
US;other;MAPCHP;54696;5628.8
US;other;MAPH;38232;2590.2
US;other;APE;66167;5985.4
US;other;APCHP;57936;5994.9
US;other;APH;248979;24265.2
