# dispatch_levels_2023.csv - GENERATED by Tools/energy_market_prep.pl (EN-3). Per zone and block: the 2023 output level of each category in the block's hours, MW, and the block's demand = the sum of the generating categories' levels (the balance: consumption + net export + losses + pumping). The base block's level is the year-round mean (the base is carried every hour); mid and peak are the means over their own hours (the load's P90 cut, as stage 2's fold).
# DE FR IT PL SE: energy-charts.info public_power by type, folded - coal = lignite + hard coal; gas; oil = fossil oil + coal-derived gas; nuclear; hydro = run-of-river + reservoir + pumped-storage generation; wind on- and offshore; solar; firm = biomass + waste + geothermal + others (must-run, not dispatched). US: EIA-930 net generation by source (Adjusted) summed over the balancing authorities per UTC hour - oil = all petroleum products; firm = other + unknown fuel sources.
# SE1..SE4: eSett EXP16 production by type and EXP15 consumption, on the NATIONAL load's block hours so the four zones clear on coincident hours; firm = eSett's thermal + storage + other (Sweden's fossil thermal is heat-led CHP inside it and is not dispatched); consumption_mw = the zone's settlement consumption; external_export_mw = Sweden's exchange with Norway, Finland, Denmark, Germany, Poland and Lithuania (energy-charts cbpf, positive = export) apportioned to the zones by the interconnector capacity out of each (external_links_se.csv).
zone;block;hours;demand_mw;coal_mw;gas_mw;oil_mw;nuclear_mw;hydro_mw;wind_mw;solar_mw;firm_mw;consumption_mw;external_export_mw
DE;base;876;33002.5;7672.4;2543.6;916.7;279.3;2693.7;12737.7;992.9;5166.2;;
DE;mid;7008;49992.9;12365.1;4324.6;898.9;767.8;3403.1;15707.5;7060.7;5465.3;;
DE;peak;876;65790.8;20094.1;8510.1;927.2;1257.6;4211.8;20774.6;4059.7;5955.7;;
FR;base;876;44328.3;27.9;1421.2;171.2;32818.8;4624.1;4206.8;597.4;460.9;;
FR;mid;7008;54277.1;58.8;2883.5;178.1;36041.7;6165.8;5703.0;2786.6;459.8;;
FR;peak;876;67825.8;502.8;7484.1;310.6;42825.0;9461.1;5034.6;1690.4;517.2;;
IT;base;876;16205.6;1023.2;5844.3;744.1;0.0;3147.5;2373.4;457.2;2615.8;;
IT;mid;7008;26039.9;1348.5;10678.8;729.3;0.0;4543.1;2691.5;2848.8;3199.9;;
IT;peak;876;37735.3;2058.7;18065.0;854.2;0.0;5832.5;2705.2;4349.1;3870.4;;
PL;base;876;12972.3;8132.0;1073.7;328.8;0.0;217.6;2325.7;666.3;228.3;;
PL;mid;7008;17489.1;10866.2;1376.1;345.5;0.0;404.8;2538.3;1717.7;240.6;;
PL;peak;876;22069.2;15376.2;2107.3;392.6;0.0;628.9;2614.6;687.4;262.2;;
SE;base;876;12929.4;0.0;0.1;0.0;4689.5;4729.0;3045.2;102.0;363.6;;
SE;mid;7008;17748.5;0.0;0.3;0.0;5293.3;7475.7;4004.6;170.8;803.8;;
SE;peak;876;22281.2;0.0;0.2;0.0;6147.5;10702.6;3914.5;23.2;1493.3;;
US;base;876;360287.5;54548.5;139677.2;543.6;82825.8;21922.8;51103.3;1644.0;8022.4;;
US;mid;7000;448536.2;76114.3;181559.6;725.8;88503.1;27835.1;48210.6;16318.1;9269.5;;
US;peak;875;622041.1;121066.7;283109.4;1076.7;93619.3;38947.4;33988.5;37478.3;12754.8;;
SE1;base;876;1762.6;0.0;0.0;0.0;0.0;1241.2;513.6;0.8;7.0;1009.5;175.7
SE1;mid;7007;2838.9;0.0;0.0;0.0;0.0;2153.7;663.5;1.2;20.4;1270.2;570.5
SE1;peak;876;4121.0;0.0;0.0;0.0;0.0;3393.7;687.9;0.0;39.4;1572.8;769.0
SE2;base;876;3716.3;0.0;0.0;0.0;0.0;2310.4;1328.8;6.4;70.6;1193.7;-24.9
SE2;mid;7007;5542.7;0.0;0.0;0.0;0.0;3778.3;1637.3;9.2;118.0;1711.1;103.9
SE2;peak;876;7018.1;0.0;0.0;0.0;0.0;5417.4;1404.6;0.7;195.3;2348.5;-255.2
SE3;base;876;6936.4;0.0;0.0;0.0;4701.3;1111.5;833.7;98.8;191.1;6103.7;601.5
SE3;mid;7007;8332.4;0.0;0.0;0.0;5303.0;1346.0;1066.6;148.1;468.7;9019.5;877.1
SE3;peak;876;9774.4;0.0;0.0;0.0;6168.6;1587.3;1046.6;10.0;962.0;12578.4;412.8
SE4;base;876;669.1;0.0;0.0;0.0;0.0;72.8;475.0;48.0;73.3;1611.7;2437.6
SE4;mid;7007;1083.4;0.0;0.0;0.0;0.0;193.5;663.1;83.7;143.1;2395.5;1854.6
SE4;peak;876;1194.9;0.0;0.0;0.0;0.0;256.7;659.5;11.6;267.1;3408.4;1241.3
