# electricity_tax_2023.csv - GENERATED by Tools/energy_tax_prep.pl (EN-7b sourcing). The statutory electricity tax per country and class, 2023, from the files ENERGY_LAYER_SPINE.md §15 lists by digest.
# rate is the statute's own figure in its unit and currency; eur_per_kwh converts it at the ECB 2023 reference rate (SEK 11.4787584313725, PLN 4.5419658823529); component is the seed's tax_env (EnergyData/retail_2023.csv, Eurostat TAX_ENV + TAX_NUC, EUR/kWh); coverage = component / eur_per_kwh, printed, never capped here.
# the EU floor (Directive 2003/96/EC Annex I Table C): business 0.5 EUR/MWh, non-business 1 EUR/MWh - households may be exempted (Art. 15(1)(h)). The USA: no federal electricity excise; no row.
country;class;rate;unit;currency;eur_per_kwh;component;coverage;floor_eur_per_kwh;paragraph;source;note
DE;households;20.5;per MWh;EUR;0.020500;0.0205;1.000;0.0010;StromStG § 3;de_stromstg_3.html + eu_tedb_de_rate_20230701.json (2023 non-business 20.5 EUR);the standard rate since 1 January 2003
DE;nonhousehold;20.5;per MWh;EUR;0.020500;0.0205;1.000;0.0005;StromStG § 3;de_stromstg_3.html + eu_tedb_de_rate_20230701.json (2023 non-business 20.5 EUR);the standard rate - manufacturing's relief of 5,13 EUR/MWh (§ 9b a.F.) is a refund on application, outside the band's figure
SE;households;39.2;ore per kWh;SEK;0.034150;0.0337;0.987;0.0010;LSE (1994:1776) 11 kap. 3 § + SFS 2022:1590;se_sfs_2022_1590_riksdagen.html + se_lse_lagennu_kons_2023_203.html;the northern municipalities pay 9.6 ore less (11 kap. 9 §) - the band averages both
SE;nonhousehold;0.6;ore per kWh;SEK;0.000523;0.0005;0.957;0.0005;LSE (1994:1776) 11 kap. 9 § 1 st. 6 and 2 st.;se_lse_lagennu_kons_2023_203.html;the industrial rate - the service sector pays the full rate - the band is read as manufacturing (an inference)
FR;households;1;per MWh;EUR;0.001000;0.0011;1.100;0.0010;CIBS L312-37 at the floor, loi 2022-1726 art. 64;fr_plf2023_an_avis285.html + fr_lf2023_art64_an_ta51.html;the price shield - the tariff it replaced 25.6875 EUR/MWh
FR;nonhousehold;0.5;per MWh;EUR;0.000500;0.0006;1.200;0.0005;CIBS L312-37 at the floor, loi 2022-1726 art. 64;fr_plf2023_an_avis285.html + fr_lf2023_art64_an_ta51.html;the price shield
IT;households;0.0227;per kWh;EUR;0.022700;0.0160;0.705;0.0010;D.Lgs. 504/1995 Allegato I + D.M. 30.12.2011 art. 1;it_gu_dm_2011-12-30_11A16869_art1.html;the residence exemption of art. 52 c.3 e) (150 kWh a month up to 3 kW) lowers the band's average - consistent with, not proven
IT;nonhousehold;12.5;per MWh;EUR;0.012500;0.0110;0.880;0.0005;D.Lgs. 504/1995 Allegato I (first 200 000 kWh a month);eu_tedb_it_rate_20230701.json;the first tier - the band's shortfall against it is not explained by the saved files
PL;households;5;per MWh;PLN;0.001101;0.0457;41.514;0.0010;ustawa o podatku akcyzowym art. 89 ust. 3;eu_tedb_pl_rate_20230701.json (the statute: pl_dzu_2023_1542_akcyza_tj.pdf);the excise is a small part of the band's environmental-tax figure - the rest is named by no saved document
PL;nonhousehold;5;per MWh;PLN;0.001101;0.0538;48.872;0.0005;ustawa o podatku akcyzowym art. 89 ust. 3;eu_tedb_pl_rate_20230701.json (the statute: pl_dzu_2023_1542_akcyza_tj.pdf);the excise is a small part of the band's environmental-tax figure - the rest is named by no saved document
