# fleet_2023.csv - GENERATED by Tools/energy_prep.pl from PoliSim-captures/sources/energy (ENERGY_LAYER_SPINE.md §1-§2). Do not edit by hand.
# capacity_record_mw: DE FR IT PL SE = Eurostat nrg_inf_epc CAP_NET_ELC 2023, all operators, by main fuel group (coal = 'coal and manufactured gases', hydro incl. pumped, solar AC; multi-fuel groups in other);
#   US = EIA Electric Power Annual Table 4.3 (2023 edition), net summer capacity (hydro = conventional + pumped; solar = utility PV + thermal + small-scale). THE DEFINITION IS THE OFFICE OF RECORD'S; Ember's nameplate stands beside it, never averaged in.
# generation_record_gwh: DE FR IT PL SE = Eurostat nrg_bal_peh GEP 2023 (coal = solid fossil fuels; solar = thermal + PV; other = the remainder); US = EIA EPM Table 1.1 / 1.1.A, 2023 annual (hydro net of pumping; solar incl. small-scale).
# capacity_ember_mw / generation_ember_gwh: Ember yearly release, 2023 (other = bioenergy + other renewables + other fossil).
country;label;capacity_record_mw;capacity_ember_mw;generation_record_gwh;generation_ember_gwh
DE;coal;47024.0;39070.0;124786.0;124780.0
DE;gas;38112.0;31900.0;84525.0;76660.0
DE;nuclear;4205.0;0.0;7216.0;7220.0
DE;hydro;10951.0;5610.0;21244.0;21240.0
DE;wind;69438.0;69440.0;141764.0;140540.0
DE;solar;75519.0;75520.0;64299.0;63870.0
DE;other;16697.0;13690.0;79037.0;72410.0
FR;coal;19.2;2030.0;1610.5;1610.0
FR;gas;10878.1;18570.0;30015.5;30020.0
FR;nuclear;61400.0;61400.0;338202.3;338200.0
FR;hydro;26058.3;24330.0;55895.2;55900.0
FR;wind;23096.4;23100.0;51457.2;50480.0
FR;solar;19749.3;20120.0;22588.3;22590.0
FR;other;11602.6;5540.0;25132.0;19950.0
IT;coal;36.1;5530.0;13219.9;13220.0
IT;gas;36830.3;57170.0;118986.5;119020.0
IT;nuclear;0.0;0.0;0.0;0.0
IT;hydro;22912.0;18940.0;40517.3;40520.0
IT;wind;12307.3;12310.0;23640.5;23590.0
IT;solar;29351.4;29360.0;30711.1;30710.0
IT;other;28623.1;6890.0;37641.2;34490.0
PL;coal;27017.4;28620.0;98848.6;98850.0
PL;gas;4269.1;3190.0;16493.7;16490.0
PL;nuclear;0.0;0.0;0.0;0.0
PL;hydro;2410.4;990.0;2409.5;2410.0
PL;wind;9343.3;9340.0;24176.4;24180.0
PL;solar;15078.2;15920.0;11107.1;11110.0
PL;other;1796.1;1440.0;14326.8;12480.0
SE;coal;69.0;0.0;27.0;0.0
SE;gas;17.0;250.0;154.0;160.0
SE;nuclear;7001.0;7000.0;48470.0;48470.0
SE;hydro;16406.0;16410.0;66187.0;66190.0
SE;wind;16224.0;16220.0;34245.0;34250.0
SE;solar;3993.0;4010.0;3114.0;3110.0
SE;other;7644.0;7730.0;13896.0;13870.0
US;coal;178441.7;199770.0;675115.0;675110.0
US;gas;507535.8;543150.0;1806063.0;1806060.0
US;nuclear;95712.2;95710.0;774873.0;774870.0
US;hydro;103132.7;84300.0;239012.0;239010.0
US;wind;147444.7;147520.0;421141.0;421140.0
US;solar;139772.5;139930.0;238936.0;238940.0
US;other;63280.5;44120.0;101536.0;98780.0
