# load_blocks_2023.csv - GENERATED by Tools/energy_prep.pl (ENERGY_LAYER_SPINE.md §3). The spec-let's S3 fold: base = the minimum every hour; peak = the periods above the P90 value (the value exceeded by ten per cent of them), at their mean; mid = the rest.
# series: DE FR IT PL SE = ENTSO-E actual total load republished by energy-charts.info (public_power, Load), calendar 2023 CET; US = EIA-930 Demand (MW) (Adjusted) summed over the balancing authorities per UTC hour of 2023, edge hours (<45 authorities) dropped; SE1..SE4 = eSett EXP15 settlement consumption.
# inland_demand_gwh = Eurostat nrg_cb_e ID 2023; scale = min(1, inland demand / the series' energy) - the factor the build applies where the load series exceeds the balance (Poland).
zone;country;periods;step_h;hours;energy_gwh;min_mw;mean_mw;max_mw;p90_mw;peak_h;peak_mean_mw;mid_h;mid_mean_mw;inland_demand_gwh;scale
DE;DE;35040;0.25;8760;458381.7;27933;52327;73828;64868;876;67595;7884;50630;499271.0;1.0000
FR;FR;8755;1;8755;425439.3;28744;48594;81747;63445;875;68966;7880;46332;445822.2;1.0000
IT;IT;8760;1;8760;276139.4;16499;31523;52503;40944;876;43382;7884;30205;305607.6;1.0000
PL;PL;8760;1;8760;166100.9;11454;18961;27106;23365;876;24556;7884;18340;157922.0;0.9508
SE;SE;8760;1;8760;130616.2;8259;14911;24332;19291;876;20530;7884;14286;132879.0;1.0000
US;US;8751;1;8751;4074640.7;307565;465620;741816;572547;875;632252;7876;447108;;1.0000
SE1;SE;8760;1;8760;11164.2;870;1274;1779;1557;876;1616;7884;1237;;1.0000
SE2;SE;8760;1;8760;15094.7;970;1723;2755;2250;876;2387;7884;1649;;1.0000
SE3;SE;8760;1;8760;79575.6;5076;9084;15200;11853;876;12630;7884;8690;;1.0000
SE4;SE;8760;1;8760;21185.2;1288;2418;4353;3185;876;3458;7884;2303;;1.0000
