# retail_2023.csv - GENERATED by Tools/energy_fiscal_prep.pl (EN-4). Per country and customer class: 2023 consumption (GWh) and the retail price's components per kWh in the country's currency.
# DE FR IT PL SE: Eurostat nrg_pc_204_c (households, band DC 2 500-4 999 kWh) and nrg_pc_205_c (non-households, band IC 500-1 999 MWh), EUR/kWh, annual 2023 - energy_supply = NRG_SUP; network = NETC; policy = TAX_RNW + TAX_CAP + OTH (the levies and charges that fund schemes); tax_env = TAX_ENV + TAX_NUC; vat = VAT; total = NRG_SUP + NETC + TAX_FEE_LEV_CHRG. Consumption from nrg_cb_e: households = FC_OTH_HH_E, non-households = FC - households.
# US: EIA Electric Power Annual Table 2.4 (average price by sector, cents/kWh, 2023) and Table 2.2 (sales by sector, MWh) - households = residential; non-households = commercial + industrial + transportation, sales-weighted; the price is all-in under energy_supply and its components are BILLED (EIA-861 by class); taxes 0 (state and local, unsourced).
country;class;consumption_gwh;energy_supply;network;policy;tax_env;vat;total
DE;households;131454.0;0.1992;0.0937;0.0291;0.0205;0.0650;0.4075
DE;nonhousehold;342043.0;0.1349;0.0548;0.0151;0.0205;0.0428;0.2681
FR;households;150736.3;0.1360;0.0659;0.0062;0.0011;0.0346;0.2438
FR;nonhousehold;256597.9;0.2057;0.0252;0.0018;0.0006;0.0442;0.2775
IT;households;63413.0;0.2359;0.0492;0.0251;0.0160;0.0309;0.3571
IT;nonhousehold;223948.3;0.1623;0.0214;0.0412;0.0110;0.0368;0.2728
PL;households;28807.0;0.0540;0.0542;0.0161;0.0457;0.0391;0.2090
PL;nonhousehold;118774.6;0.0998;0.0420;0.0209;0.0538;0.0498;0.2664
SE;households;39550.0;0.0811;0.0762;0.0002;0.0337;0.0478;0.2390
SE;nonhousehold;83743.0;0.0700;0.0266;0.0002;0.0005;0.0243;0.1216
US;households;1450025.2;0.1600;0.0000;0.0000;0.0000;0.0000;0.1600
US;nonhousehold;2424228.2;0.1070;0.0000;0.0000;0.0000;0.0000;0.1070
