# THE DRY-FILM SCOPE LEDGER (2026-09-22; COMPLETED.md s574). Read by Assets/Editor/DryFilmScopeCheck.cs (the cheap bar) and by Tools/bar_tier.ps1.
# The tier has always said the dry film runs "every width and country the item names". The sitting pass of 2026-09-22 ran all twelve
# sessions on every one of its ten items and measured the cost: 522 s a run against 145 s for the two sessions the item actually named,
# 6.3 minutes an item, about an hour across the pass. The rule was right and it was not followed, so it is enforced here the way the
# review ledger enforces its own: a row states what the item NAMES, the check reads the film's own log, and a film that ran sessions the
# row does not name fails the bar.
#
# Columns, tab-separated: kind, label, sessions, date, record, why
#   kind      scope
#   label     the dry film's label - the log is PoliSim-captures/logs/<label>.log and the runner's own plan line is in it
#   sessions  the sessions the item names, comma-separated, each Country@WxH exactly as the runner plans them (e.g. Sweden@1280x720)
#   date      when the row was written
#   record    the COMPLETED.md section the item lands under
#   why       one clause: why these countries and widths, and no others
#
# Add rows with Tools/film_scope.ps1. There is no waiver row: a UI item that genuinely needs all twelve names all twelve, and the row
# says why - the cost is then a decision on the record rather than a habit.
kind	label	sessions	date	record	why
scope	drypap2	Sweden@1280x720,France@1280x720	2026-09-22	s572	the two countries P-A-prime's shares move; the other four read the same levy rule with an unchanged share
scope	drystat	Germany@1280x720,Sweden@1280x720	2026-09-22	s575	Germany is the only page the statute kind changes; Sweden is the operator-queue control on the same shared readers
scope	drywash	Germany@1280x720	2026-09-22	s575	the wash is ONE token, country- and width-independent; Germany is the session this pass already filmed at 12 percent, so the frames compare directly
scope	dryshort	Germany@1280x720	2026-09-22	s575	the German Greens are the one unit whose published abbreviation differs from its ASCII key; no other country has a party the change can move
scope	drytongue	Germany@1280x720	2026-09-22	s576	the rail is one painter on every screen and the wash is country-independent; Germany is the session s575 filmed at 8 percent over the whole cell, so the frames compare directly
scope	drypf13	Germany@1280x720	2026-09-22	s578	the signing plate and the harness's claim are one painter and one driver, country-independent; the Canvas surfaces are covered by the REAL films this item owes at 1280 and 2560
scope	drydocs	Germany@1280x720	2026-09-22	s579	a comment-only re-point of moved documentation sections; no drawn surface changes, and one session proves the screens still draw
scope	dryconsol	Germany@1280x720	2026-09-22	s579	a documentation consolidation: no drawn surface changes, and one session proves the screens still draw
scope	dry585	Germany@1280x720	2026-09-23	s585	FT-16 changes the euro-zone sentence and row caption on Germany's central-bank page
scope	dry589	Sweden@1280x720	2026-09-23	s589	boards 16b-16d on the People page's five family plates
scope	dry590	Sweden@1280x720,Germany@1280x720	2026-09-23	s590	the pension-age dial: Sweden holds a window (the held label), Germany a schedule (the law's ghost label)
scope	dry591	Sweden@1280x720,USA@1280x720	2026-09-23	s591	the five visible defects: Sweden carries the Budget spending rows, the Docket, Labor and Parliament with the state pins; the USA carries the compass escape
scope	dry596	Sweden@1280x720	2026-09-23	s596	the pension draft's save round trip and PF-12's pins run in Sweden's session with -shotstates; the participation response draws nothing new
scope	dry600	Sweden@1280x720	2026-09-23	s600	PF-15's overflow sits on the desk frame Sweden's pinned session reaches on the way to its election night
scope	dry602	Sweden@1280x720	2026-09-23	s602	K-1 part (1): the 2026 chamber - the picker's seats, the hemicycle, the stance rows, the campaign and election night's previous election read 2026
scope	dry603	Sweden@1280x720	2026-09-23	s603	K-1 part (2): the 2026 declarations move the seated formation - the picker's cabinet marks, the compass's cabinet and the stance rows read it
scope	dry604	Sweden@1280x720	2026-09-24	s604	K-1 part (3): the game starts 1 October 2026 - the Desk's date, the calendar pad, the election marker and the campaign dates move
scope	dry605	Sweden@1280x720	2026-09-24	s605	K-1 part (4): the day-one government marked PROVISIONAL on the picker and the compass legend
scope	dry607	Sweden@1280x720	2026-09-24	s607	K-1f: the candidacies and V's rule - the seated chamber forms no government; the picker says so, the compass legend reads none, the stance rows lose the government term
scope	dry609	Sweden@1280x720	2026-09-24	s609	PF-16: election night's who-governs column - the only surface moved; Sweden is the pinned night that clipped
scope	drymm1	Sweden@1280x720	2026-09-24	s614	MM-1: the main menu is the first screen of every film; Sweden at the harness's width is the one session the row names, the Canvas frame itself owes a real film
scope	drymm2	Sweden@1280x720	2026-09-24	s615	MM-2: the settings screen from the menu and the desk's SETTINGS chip; Sweden at the harness's width is the one session the row names
scope	drymm2b	Sweden@1280x720	2026-09-24	s615	MM-2 after the settings screen was trimmed to the floor geometry; the same one session
